ETD status,PID,Author name,Title,Abstract,Table of Contents
inactive,emory:806t6,"Kleinman, Brighid Malloy",Differential Effects of Meditation on Relationship Quality,"Abstract
Differential Effects of Meditation on Relationship Quality
By Brighid Malloy Kleinman
Relationships are one of the most crucial parts of life and a
highly studied subject
in psychology. Yet psychologists still have difficulty explaining
how to help people gain
and maintain close, positive relationships. The present study aims
to investigate whether
an existing intrapersonal health strategy, meditation, can also
help interpersonal health.
Specifically, psychological and neurobiological evidence suggests
that compassion
mediation in particular may be particularly relevant to close
relationships. Based on
evidence suggesting that compassion - the desire to free others
from suffering - is
strongly related to relationship quality, it is hypothesized that
the cultivation of
compassion through meditation will enhance self-reported
relationship quality.
Furthermore, it is hypothesized that interpersonal (i.e.,
compassion, empathy, and
forgiveness) and intrapersonal (i.e., emotion regulation and
coping) variables will
mediate the relationship between compassion meditation and
relationship quality.","Table of Contents --
Introduction………………………………………………………1
--
Method…………………………………………………………..30
--
Results…………………………………………………………...34
--
Discussion………………………………………………………..40
--
References………………………………………………………..47
--
Footnotes…………………………………………………………60
--
Tables……………………………………………………………..61"
inactive,emory:91066,"Gegia, Medea","Approval Sheet Risk Factors for Poor Treatment Outcomes
among Patients with Multi-Drug Resistant and Extensively
Drug-Resistant (M/XDR) Tuberculosis in the Country of Georgia.","Abstract
Introduction:
Resistance of M. tuberculosis to anti-tuberculosis drugs
has become a
major public health problem in many countries, including Georgia.
In 2008, Georgian
National Tuberculosis Program introduced treatment with second line
anti-tuberculosis
drugs, which has allowed for treatment of multidrug or extensively
drug-resistant
tuberculosis (M/XDR)-TB. The study objectives were to assess
treatment outcomes
among the 1st cohort of patients with pulmonary M/XDR-TB and to
determine risk factors
for poor treatment outcomes: defined as death, failure and
default.
Methods: A prospective observational cohort study was
performed. All patients with
M/XDR pulmonary TB who initiated treatment in 2008 were enrolled
and followed until
2010. Descriptive statistics were used to determine associations
between study
covariates. Binary logistic regression analysis was utilized to
determine independent
association of prior treatment history with treatment outcome while
controlling for
potential confounding variables.
Results: 380 patients were included: male (71%); mean age 38
years; median age 38.4
years. 13% had XDR-TB. 1.3% had HIV co-infection. Body Mass Index
(BMI) was &lt;18.5
among 24% of the cohort, and 52% had bilateral lesions on chest
X-ray. Surgery was
performed in 10% (37) of cases. The treatment outcomes were as
follows: 47% had a
poor outcome (death among 59 patients [15%], failure among 37
[10%], and 83 [22%] -
defaulted). In the final multivariable analysis, history of
previous treatment (OR=2.8 95%
CI 1.2 - 6.3) was significantly associated with poor treatment
after controlling for risk
factors. Other independent variables associated with poor treatment
outcomes included
absence of adjunctive surgical therapy (OR 3.7, 95%CI 1.5, 8.7), no
sputum culture
conversion to negative by 4 months (OR 3.0, 95%CI 1.9, 5.0), the
presence of XDR-TB
(OR 2.3, 95% CI 1.2, 2.4), BMI &lt; 18.5 (OR 2.0, 95%CI 1.1, 3.4)
and bilateral lesions on
chest radiograph (OR 1.8, 95%CI 1.2, 2.9).
Conclusions: Overall, 47% of patients with M/XDR-TB had poor
treatment outcome. In
multivariable analysis, independent risk factors for a poor
treatment outcome included
prior TB treatment history, lack of adjunctive surgical
intervention, no culture conversion
by month 4, XDR-TB, low BMI (&lt;18.5) and bilateral lesions on
chest X-ray.

Cover Page

Risk Factors for Poor Treatment Outcomes among Patients with
Multi-Drug
Resistant and Extensively Drug-Resistant (M/XDR) Tuberculosis in
Georgia.
By
Medea Gegia, MD
Advisor: Henry M. Blumberg, MD
Advisor: John Boring, Ph.D
Advisor: Thomas Ziegler, M.D
A thesis submitted to the Faculty of the
James T. Laney Graduate Studies of Emory University
in partial fulfillment of the requirements for the degree of
Master of Science
in Clinical Research
2011","TABLE OF CONTENTS -- INTRODUCTION
............................................................................................................
1 -- BACKGROUND
.............................................................................................................
3 --
METHODS......................................................................................................................
6 --
RESULTS.....................................................................................................................
15 --
DISCUSION..................................................................................................................
18 --
CONCLUSION..............................................................................................................
22 -- REFERENCES
.............................................................................................................
23 -- TABLES
.......................................................................................................................
25 -- APPENDIX
...................................................................................................................
29"
inactive,emory:g2cm7,"Goldfeder, Mark Aaron",Chains of Love in Law; Revisiting Plural Marriage,"This dissertation explores an area at the intersection of
family law, religious liberty and criminal law: the issue of plural
marriage. As American keeps moving in the direction of favoring
consensual adult relationships regardless of their nature, polygamy
has been slowly making a comeback in the national consciousness.
Arguments include First, Fifth, and Fourteenth Amendment rights to
religious liberty, due process, and equality. The first part of
this dissertation explores the issue of legalizing plural marriage
from a legislative and administrative standpoint, while the second
part argues that, regardless of whether or not the technicalities
can be worked out on paper, from a public policy perspective,
polygamy is a poor choice. It argues from experience, with detailed
reference to the Jewish legal system's dramatic move away from the
practice of plural marriage.","Table of Contents -- INTRODUCTION.......................................................................................................................................................................
1 
 -- PART
I............................................................................................................................................................................................
6 
 -- Chapter 1: What is Marriage?
Privileging Function Over
Form....................................................................
7 
 -- A.
Introduction.............................................................................................................................................................
7 
 -- B. The Value of Marriage as
an Institution; Personal and Societal
Benefits................................... 
10 
 -- C. Formulating the Marriage
Question
Properly.........................................................................................
15 
 -- D. Why Get
Married?................................................................................................................................................
18 
 -- E. Legal and Social
Recgonition of the Marital
Entity..............................................................................
27 
 -- F. It, and Nothing But
It..........................................................................................................................................
33 
 -- Chapter 2: Unbundling
Marriage...............................................................................................................................
47 
 -- A. Modern Marriage; The More
Things Change, The More They Stay The Same.........................
47 
 -- B. Unbundling
Marriage........................................................................................................................................
52 
 -- C. The Term ""Marriage"" as an
Essential
Branch........................................................................................
60 
 -- D. Unbundling
Continued......................................................................................................................................
68 
 -- E. Framing Plural
Marriage.................................................................................................................................
75 
 -- Chapter 3: The Realities of
Monogamy and the Push for Plural
Marriage.......................................... 
83 
 -- A. The Ideal Versus The
Reality of
Monogamy............................................................................................
85 
 -- B. Plural Marriage as a
Family
System............................................................................................................
95 
 -- C. Feminism and Plural
Marriage: A Fuller
Picture.................................................................................
101 
 -- Chapter 4: Children of
Plural Marriages; A First Empirical
Look......................................................... 
107 
 -- A. Background
Information...............................................................................................................................
107 
 -- B. Assumptions and
Responses........................................................................................................................
114 
 -- C. The Polyamorous Families
Study...............................................................................................................
125 
 -- D. Children's
Perceptions....................................................................................................................................
128 
 -- E.
Conclusions..........................................................................................................................................................
135 
 -- Chapter 5: Legalizing Plural
Marriage................................................................................................................
140 
 -- A. Decriminalizing,
Defining, and Structuring Plural
Marriage........................................................ 
141 
 -- B. The Solution to the
Plural Marriage Problem: The Plural
Prenup.............................................. 
146 
 -- C. Common Polygamy Concerns
and Their
Solutions.............................................................................
156 
 -- Chapter 6: Plural Marriage,
Revisited.................................................................................................................
163 
 -- A. Potential Plural Marriage
Fraud................................................................................................................
163 
 -- B. Private Ordering in
Family Law and the Benefits of
Choice........................................................... 
167 
 -- C. Other Benefits of
Legalization; Safety and
Security...........................................................................
170 
 -- D. Plural Marriage,
Revisited............................................................................................................................
172 
 -- PART
II....................................................................................................................................................................................
178 
 -- Polygamy and Religion in
Public
Discourse.......................................................................................................
179 
 -- The life of the law has not
been logic; it has been
experience.................................................................
179 
 --
Introduction.....................................................................................................................................................................
179 
 -- Chapter 1: Polygamy in
Jewish
Law........................................................................................................................
185 
 -- A. Background
Information...............................................................................................................................
185 
 -- B. A Jewish Law
Primer........................................................................................................................................
186 
 -- Chapter 2: The Old
Testament.................................................................................................................................
194 
 -- A. Biblical Instances and
Precedents.............................................................................................................
194 
 -- B. Polygamy as a Religious
Obligation.........................................................................................................
196 
 -- C. Polygamy's
Benefits..........................................................................................................................................
198 
 -- D. Polygamy as a Tolerated
Practice.............................................................................................................
199 
 -- Chapter 3: Polygamy in the
Post-Biblical Ancient Near
East..................................................................
204 
 -- A. The Second Temple
Period...........................................................................................................................
204 
 -- B. The Tannaitic
Period.......................................................................................................................................
208 
 -- C. Polygamy in Early
Christian
Sources........................................................................................................
214 
 -- Chapter 4: The Amoraic and
Gaonic
Eras...........................................................................................................
219 
 -- A. The Jerusalem
Tradition................................................................................................................................
222 
 -- B. The Babylonian
Tradition.............................................................................................................................
225 
 -- C. The Gaonim and Early
Rishonim................................................................................................................
236 
 -- Chapter 5: The Ban of
Rabbeinu
Gershom...........................................................................................................
241 
 -- A. A Summary of Judaism's
Approach to
Marriage.................................................................................
243 
 -- B. Rabbeinu Gershom's
Inspirations and
Influence................................................................................
248 
 -- Chapter 6: The Limits and
Contours of the
Ban...............................................................................................
258 
 -- A. Issues of Authority,
Authorship, and
Scope...........................................................................................
258 
 -- B. Polygamy in Non-Christian
Lands.............................................................................................................
263 
 -- C. Revisiting the
Concubine................................................................................................................................
267 
 -- D. The Story Behind the
Story...........................................................................................................................
268 
 -- Chapter 7: Conclusion and
Summary of
Findings.............................................................................................
271 
 -- Table of
Statutes.....................................................................................................................................................
277 
 -- TABLE OF
CASES...............................................................................................................................................................
284 
 --
Bibliography..................................................................................................................................................................
289 
 -- 
 --"
inactive,emory:8kpw3,"Patel, Pritty Jashvantlal",Role of TMS1/ASC in Breast Epithelial Anoikis and Migration,"Cellular detachment from the extracellular matrix (ECM) induces
a form of
apoptosis, referred to as ""anoikis."" Most cancer cells are
resistant to anoikis and survive
independently of ECM interactions. Previously, we identified a
pro-apoptotic gene,
TMS1 that is epigenetically silenced in breast cancers.
Overexpression of TMS1 is
sufficient to induce procaspase-8 cleavage in breast cells in the
absence of death receptor-
ligand interactions. Additionally, TMS1 aggregates to form 'specks'
in some apoptotic
cells, although the function of this structure remains unclear.
Here we established a role
for TMS1 in anoikis and uncovered a nonapoptotic role for TMS1 in
cell migration. We
show that cellular detachment induces TMS1 expression. In addition,
we find that
silencing TMS1 confers resistance to anoikis through a delay in
procaspase-8 cleavage
and accumulation of BimEL. ERK1/2 signaling negatively regulates
BimEL
accumulation during detachment. We found that silencing TMS1
resulted in persistent
ERK1/2 signaling during anoikis. We conclude that loss of TMS1
promotes resistance to
anoikis in part through misregulation of ERK1/2 signaling and
suppression of BimEL
accumulation. During the course of these studies a nonapoptotic
role for procaspase-8 in
adhesion and migration was elucidated by many groups. The next
phase of our research
was aimed towards deciphering a role for TMS1 upstream of
procaspase-8 in anoikis.
Thus, we next investigated a nonapoptotic role for TMS1 in these
processes. We found
that adhesion to fibronectin induced the redistribution of TMS1 to
barrel-like structures.
Silencing TMS1 delayed FAK and ERK1/2 signaling in response to
integrin-fibronectin
interactions. Phosphorylated FAK and centrosomal markers
colocalized with TMS1 at
barrel-like structures in a subset of cells. Through functional
analyses, we further
demonstrated a role for TMS1 in cell migration. These data
suggest that an association of
TMS1 with centrosomes results in the formation of a critical
signaling center that may
regulate migration. In conclusion, our data demonstrate distinct
functions for TMS1 in
anoikis and migration. Overall, results from these studies have
increased our
understanding of the intricate functions TMS1 exhibits in
epithelial cells and has
provided great insight into the consequences of aberrant
methylation and silencing of
TMS1 observed in many cancers.",
inactive,emory:bmjmq,"Patton-Levine, Jessie Kaylin","Depression Medication Use Among Women Exposed to Polybrominated
Biphenyls, Michigan 1997-2006","Abstract
Depression Medication Use Among Women Exposed to Polybrominated
Biphenyls,
Michigan 1997-2006
Objective: This study examined the potential
association of dietary exposure to
polybrominated biphenyls (PBBs), a brominated flame retardant, and
self-reported use of
depression medication among women. PBBs belong to a class of
chemical that have
demonstrated disruption of endocrine systems and pathway. Onset of
depression may be
due to many factors but gender differences in prevalence and the
vulnerability of women
during reproductive lifetime events, such as menses, pregnancy, the
postpartum period
and menopause, suggest the involvement of reproductive
hormones.
Methods: Women exposed to PBB in the early 1970s were
enrolled in a population-based
cohort and provided blood serum samples to ascertain PBB
concentrations in the body.
This study includes 901 women who participated in interviews
conducted in 1997-1998
or in 2003-2006. Information collected during the interviews
included demographics,
lifestyle, medical history, reproductive history, and exposure
history. Logistic regression
models for use of depression medication in the year prior to
interview used enrollment
PBB exposure and current PBB exposure. A general linear mixed decay
model using
enrollment PBB concentrations estimated current PBB concentrations.
All models were
adjusted for PCB levels at enrollment, age at interview, history of
thyroid disease, history
of cancer, BMI at interview, smoking status, and use of hormone
replacement therapy.
Results: Depression medication use in the 12 months
prior to interview was reported for
133 women, with an overall prevalence of 14.8%. This study did not
find an association
between exposure to PBB and depression medication usage among
women, however
among current or former smokers with PBB exposure an increased
likelihood of
depression medication use was observed compared to non-smokers with
low PBB
exposure. (Current PBB &lt;0.85 ppb: OR 1.57, 95% CI 1.06-2.32;
Current PBB 0.85 ≤ 2.4
ppb: OR 1.85, 95% CI 1.00-3.43; Enrollment PBB ≤1 ppb: OR
1.56, 95% CI 1.05-2.30;
Enrollment PBB 1 - 4 ppb: OR 1.86, 95% CI 1.01-3.41)
Conclusion: This study suggests that PBB exposure
increases the chance of depression
among women who are current or former smokers. Additional research
should explore
the interaction between PBBs and smoking and depression associated
with altered
hormone pathways.","Table of Contents -- Chapter I: Literature Review
..............................................................................................
1 -- Chapter II: Manuscript
.....................................................................................................
16 -- Abstract
................................................................................................................
16 -- Introduction
..........................................................................................................
17 -- Methods
................................................................................................................
19 -- Results
..................................................................................................................
24 -- Discussion
............................................................................................................
28 -- References
............................................................................................................
33 -- Tables
...................................................................................................................
46 -- Chapter III: Summary
......................................................................................................
50 -- Appendices
.......................................................................................................................
52"
inactive,emory:dwfc2,"Shoemaker, Meredith Lillian","A Spatial and Geostatistical Analysis of Polybrominated Biphenyl
Exposure in Michigan","In a study of geographic distribution of human exposure to
polybrominated biphenyl in the Michigan PBB Registry, following a
contamination incident in 1973, PBB quarantined farms are
investigated for their potential as sites of environmental
contamination and continued human exposure to PBB. Spatial
distribution maps were created to describe human PBB exposure from
1976-1979, quarantined farms, estimated decay rates, and breast
cancer rates by county. Univariate geostatistical analyses assessed
global and local autocorrelation. Bivariate geostatistical analyses
evaluated global and local autocorrelation of human PBB exposure,
estimated decay rates, and breast cancer rates with the number of
quarantined farms in Michigan counties. A land use analysis
measured the area of agricultural land in 1978 developed into urban
land use in 1992, in counties with the highest number of
quarantined farms. No significant global autocorrelation was found
across the state of Michigan for any variable, with the exception
of mean breast cancer rates. Results of the local univariate
analyses indicated differential distribution of PBB exposure. Three
major areas associated with higher human PBB exposure were located
around the city of Grand Rapids, in the thumb of Michigan's lower
peninsula, and in the southwestern corner of the state. Bivariate
significant autocorrelation with quarantined farms was found at
these same locations. The land use analyses revealed counties
located around the city of Grand Rapids had the greatest total land
area transition from agriculture to urban land use. In the thumb of
the state, significant bivariate autocorrelation identified an area
of high of quarantined farms and slower decay rates. In conclusion,
this study identifies areas of Michigan associated with higher
human exposure to PBB in 1976-1979. This analysis suggests that
counties around the city of Grand Rapids have a higher potential
for continued human exposure to PBB from quarantined farms and that
slower rates of decay found in the thumb of the state, can
potentially be attributed to continued human exposure from
quarantined farms. The implications of these findings can be better
understood through environmental sampling, more detailed land use
data analyses, and continued spatial analyses of point
locations.","INTRODUCTION 1 -- METHODS 14 -- Study Population: Michigan PBB
Registry 14 -- Human PBB Exposure Maps 15 -- Quarantined Farms Map
17 -- Decay Rate Estimate Maps 18 -- Breast Cancer Incidence Rate
Map 19 -- Geostatistical Analysis 20 -- Land Use Analysis 20 --
RESULTS 22 -- Descriptive Spatial Analysis 22 -- Univariate
Geostatistical Analysis 25 -- Bivariate Geostatistical Analysis 28
-- Land Use Analysis 31 -- DISCUSSION 31 -- CONCLUSIONS AND
RECOMMENDATIONS 36 -- REFERENCES 37 -- FIGURES AND TABLES 41 --
Figure 1: PBB Quarantined Farms in Michigan 41 -- Figure 2:
Reference Map of Michigan Counties and Cities 42 -- Figure 3:
Measures of Centrality of PBB Exposure Level Distribution 43 --
Figure 4: Rates of Persons in PBB Exposure Categories 43 -- Figure
5: Proportion of Slowest Estimated PBB Decay Rates 44 -- Figure 6:
Age-Adjusted Breast Cancer Rates 44 -- Figure 7: Univariate LISA
Cluster Map, Mean PBB Level 45 -- Figure 8: Univariate LISA Cluster
Map, Low Exposure Rate 45 -- Figure 9: Univariate LISA Cluster Map,
Moderate Exposure 1 Rate 45 -- Figure 11: Univariate LISA Cluster
Map, High Exposure 1 Rate 46 -- Figure 12: Univariate LISA Cluster
Map, High Exposure 2 Rate 46 -- Figure 13: Univariate LISA Cluster
Map, Quarantined Farms 47 -- Figure 15: Bivariate LISA Cluster Map,
Quarantined Farms and Mean PBB Level 47 -- Figure 16: Bivariate
LISA Cluster Map, Quarantined Farms and Median PBB Level 48 --
Figure 17: Bivariate LISA Cluster Map, Quarantined Farms and Mode
PBB Level 48 -- Figure 18: Bivariate LISA Cluster Map, Quarantined
Farms and Low Exposure Rate 48 -- Figure 19: Bivariate LISA Cluster
Map, Quarantined Farms and High Exposure 1 Rate 49 -- Figure 20:
Bivariate LISA Cluster Map, Quarantined Farms and High Exposure 2
Rate 49 -- Table 1: Univariate Analysis 50 -- Table 2: Bivariate
Analysis 51 -- Table 3: Land Use Analysis 51 -- APPENDIX 52 --
Figure A1: Rates of Persons in PBB Exposure 2 Categories 52 --
Figure A2: Proportion of Slowest Estimated PBB Decay Rates in
Mothers with Initial Serum PBB Less than 10 ppb 53 -- Figure A3
Proportion of Slowest Estimated PBB Decay Rates in Mothers with
Initial Serum PBB less than 5 ppb 54"
inactive,emory:90zth,"Varner, Stewart",Moral Distress in Respiratory Therapists,"Abstract
Youth sexual and reproductive health in Bosnia and
Herzegovina:
Informing intervention strategies using quantitative methods
by Glen R. Abedi
Youth sexual and reproductive health represents an area of
healthcare that is in particular need of
development in Bosnia-Herzegovina. However, little research on this
subject has been conducted to date
to guide policy and programming. CARE Northwest Balkans, a regional
subsidiary of CARE
International, completed a quantitative survey on youth sexual and
reproductive health in Bosnia-
Herzegovina in 2006. Respondents consisted(Mann, Drucker,
Tarantola, &amp; McCabe, 1994) of university
students above the age of 18. They answered questions about their
behaviors and attitudes associated with
sexual and reproductive health (SRH) and related behaviors.
The largest ethnic group represented in the sample was Serbs
(71.56%), followed by Bosniaks
(23.85%). The median age of respondents was 22.21 years. Only 5.50%
of respondents reported ever
having been tested for sexually transmitted infections (STI)
although 69.72% reported having engaged in
sexual intercourse in the previous year. The most popular sources
of information on sexual and
reproductive health were TV &amp; radio, printed materials, and
school. The effectiveness of these sources of
information as avenues for public health communications remains
unclear.
how many words will this get upset about? Would Charles Dickens
make it here??
rryrhrhrhgrhgrggdgfegfegehtegegegegfegegegegegegtegegegegegegegegregegegtdfgegeghtehgtedtetetye
dgdghdghdh dgdhgdghdh fhfhjfhjfhfhfjfjfjf fekhfkehkrehkehfr
hfjewgfkjegfkje hfjefkehekhfkehfkehf hfejfhge
fhe, jfklsjflsjkfl nflsflkshlfkhs hklhflshflsh hflskhflshfsl
hklfhslfhlshf hlfshlfhslf hlfshlfhslfhs fslhflshflshlfkhslhflk
hflsjflslfhslkhf hflshflshlfh hflshflshfl","Table of contents -- 1. Introduction -- 2. Methods -- 3. Results --
4. Conclusions -- 5. References -- Appendix A. -- Informed consent
document. -- Appendix B. -- Questionnaire."
inactive,emory:8kpzc,"Patel, Pritty Jashvantlal",Role of TMS1/ASC in Breast Epithelial Anoikis and Migration,"Cellular detachment from the extracellular matrix (ECM) induces
a form of
apoptosis, referred to as ""anoikis."" Most cancer cells are
resistant to anoikis and survive
independently of ECM interactions. Previously, we identified a
pro-apoptotic gene,
TMS1 that is epigenetically silenced in breast cancers.
Overexpression of TMS1 is
sufficient to induce procaspase-8 cleavage in breast cells in the
absence of death receptor-
ligand interactions. Additionally, TMS1 aggregates to form 'specks'
in some apoptotic
cells, although the function of this structure remains unclear.
Here we established a role
for TMS1 in anoikis and uncovered a nonapoptotic role for TMS1 in
cell migration. We
show that cellular detachment induces TMS1 expression. In addition,
we find that
silencing TMS1 confers resistance to anoikis through a delay in
procaspase-8 cleavage
and accumulation of BimEL. ERK1/2 signaling negatively regulates
BimEL
accumulation during detachment. We found that silencing TMS1
resulted in persistent
ERK1/2 signaling during anoikis. We conclude that loss of TMS1
promotes resistance to
anoikis in part through misregulation of ERK1/2 signaling and
suppression of BimEL
accumulation. During the course of these studies a nonapoptotic
role for procaspase-8 in
adhesion and migration was elucidated by many groups. The next
phase of our research
was aimed towards deciphering a role for TMS1 upstream of
procaspase-8 in anoikis.
Thus, we next investigated a nonapoptotic role for TMS1 in these
processes. We found
that adhesion to fibronectin induced the redistribution of TMS1 to
barrel-like structures.
Silencing TMS1 delayed FAK and ERK1/2 signaling in response to
integrin-fibronectin
interactions. Phosphorylated FAK and centrosomal markers
colocalized with TMS1 at
barrel-like structures in a subset of cells. Through functional
analyses, we further
demonstrated a role for TMS1 in cell migration. These data
suggest that an association of
TMS1 with centrosomes results in the formation of a critical
signaling center that may
regulate migration. In conclusion, our data demonstrate distinct
functions for TMS1 in
anoikis and migration. Overall, results from these studies have
increased our
understanding of the intricate functions TMS1 exhibits in
epithelial cells and has
provided great insight into the consequences of aberrant
methylation and silencing of
TMS1 observed in many cancers.",
inactive,emory:pg4wn,"Lestourgeon, Lauren","Characterizing Exposure to Persistent Organic Pollutants in the
Michigan Chemical Corporation and Pine River Community","Purpose: After the industrial accident in
1973 in Michigan exposed thousands of people to polybrominated
biphenyls (PBB), the Michigan PBB Registry was started to track the
exposed to conduct research on health outcomes. In the 1990s those
who were former chemical workers of Michigan Chemical Corporation
and their families were dropped from the registry due to multiple
exposures. In 2014, former PBB Registry participants were invited
to re-join the Registry. This study aims to characterize the
chemical workers, their families, and others living in the
St.Louis/Pine River area who may have been exposed to PBB and other
persistent organic pollutants.
Methods: Blood samples were collected from
participants in December, 2013 and in March, 2014. Serum was
analyzed for PBB153, DDT and DDE isomers, and HBB.
Participant's serum concentrations were coupled with
questionnaire data about their demographic
classifications. Univariate statistics were used to describe
the study cohort's chemical distributions. The study
cohort distributions were compared with NHANES
2003-2004 distributions as a baseline indicator of national
background concentrations. Linear regression was performed on
natural log transformed PBB153 and p,p-DDE concentrations as the
dependent outcomes with covariates of the different
classifications.
Results: Chemical workers had significantly
higher PBB153 concentrations than the other three classifications
of participants that stayed significant when adjusted for age and
gender. Family members of chemical workers had significantly higher
PBB153 concentrations than the other two classifications of
participants that stayed significant when adjusted for age and
gender. Age was the only strong predictor of p,p-DDE
concentrations. All participants measured below the level of
detection for DDT isomers, o,p-DDE, and HBB. The overall
distribution of the study cohort had elevated PBB153 concentrations
compared with the NHANES 2003-2004 data.
Conclusion: This study highlights the need
for chemical workers and their families to be included back into
the Michigan PBB Registry, as they represent a highly exposed
population to PBB. Future studies should focus on linking
environmental sampling of persistent organic pollutants in St.
Louis/Pine River to human exposures -
including reassessing DDT/DDE/DDD as well as other compounds
such as PCB, PBDE, and dieldrin.","Introduction......................................1 --
Methods...........................................17 --
Results............................................30 --
Discussion.......................................39 --
Conclusions/Recommendations...........45 --
References.......................................46 -- Tables and
Figures............................51"
inactive,emory:dws9t,"Chou, Yi-Ting","Determinants of Uncontrolled Blood Pressure among African Americans
using Electronic Medical Records, 2008-2011.","Abstract
Determinants of Uncontrolled Blood Pressure among African
Americans using Electronic Medical Records, 2008-2011
By Yi-Ting Chou
Hypertension is a common chronic disease affecting more than 75
million adults in the United States. Particularly in African
Americans, hypertension is more common, more severe, develops at an
earlier age, and leads to more clinical sequelae. Moreover,
Hypertension control rates in the United States remain lower in
African Americans compared to Caucasians. Nevertheless, potential
risk factors of uncontrolled hypertension have not been
sufficiently investigated in clinical population.
To understand the multidimensional determinants of uncontrolled
blood pressure in African Americans, we used an electronic medical
record system in Georgia and identified a sample of 3,135 newly
treated hypertensive African Americans aged ≥20. The primary
outcomes of interest were 1) Blood pressure (BP) controlled or not
after treatment, and 2) the quantitative changes in SBP and DBP
before and after treatment. Potential risk factors examined
included age, sex, BMI, Socioeconomic status socioeconomic status,
medication adherence, the use of diuretics or calcium channel
blockers, comorbidities. The associations of risk factors with
blood pressure and uncontrolled hypertension were examined by
linear and logistic regression models, respectively.
Under the unadjusted model, medication adherence (medication
possession ratio ≥0.8) was significantly associated with BP
control with a reduction of 5.4 and 3.3 mmHg compared to
non-adherent patient in SBP and DBP respectively. The use of
diuretics was associated with a reduction in SBP while the use of
CCB was observed with association in both SBP and DBP response.
Diabetes (DM), stroke, chronic kidney disease (CKD), and end stage
renal disease (ESRD) were associated with SBP increases even after
treatment. Controlling for age, sex, BMI, and medication adherence,
diuretics was still significantly associated with a SBP reduction
but not DBP. DM was associated with DBP reduction, while CKD or
ESRD was associated with increases in SBP, respectively. Low SES is
associated with less reduction of SBP and DBP among treated African
Americans.
We concluded that adherence to antihypertensive medication, the
comorbidity, and the category of antihypertensive medication
strongly influenced BP response among African Americans.","Table of Contents -- Background/Literature
Review------------------------------------------------------------------1
--
Methods---------------------------------------------------------------------------------------------5
--
Results----------------------------------------------------------------------------------------------11
-- Discussion
-----------------------------------------------------------------------------------------16
-- Strengths and
Weaknesses-----------------------------------------------------------------------21
-- Future
Directions----------------------------------------------------------------------------------23
--
References------------------------------------------------------------------------------------------24
--
Tables-----------------------------------------------------------------------------------------------30
-- Figures and Figure
Legends----------------------------------------------------------------------33
--
Appendices-----------------------------------------------------------------------------------------35
--"
